Drug Id, Name, Synonyms, Targets, Target pathway, PubCHEM, Datasets, number of cell lines, Screening site
"179","5-Fluorouracil","5-FU","Antimetabolite (DNA & RNA)","Other","3385","GDSC1","907","MGH"
"86","A-443654","KIN001-139","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10172943","GDSC1","397","MGH"
"55","A-770041","KIN001-111","LCK, FYN","Other, kinases","9549184","GDSC1","397","MGH"
"477","A-83-01","","TGFB","Other","","GDSC1","905","MGH"
"264","ACY-1215","","HDAC6","Chromatin histone acetylation","","GDSC1","917","MGH"
"562","AGI-6780","","IDH2(R140Q)","Metabolism","","GDSC1","909","MGH"
"171","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","877","MGH"
"228","AKT inhibitor VIII","Akti-1/2, KIN001-102","AKT1, AKT2, AKT3","PI3K/MTOR signaling","10196499","GDSC1","913","MGH"
"272","AR-42","HDAC-42, AR 42, AR42","HDAC1","Chromatin histone acetylation","6918848","GDSC1","899","MGH"
"474","ARRY-520","","KIF11","Mitosis","","GDSC1","899","MGH"
"207","AS601245","","JNK1, JNK2, JNK2","JNK and p38 signaling","10109823","GDSC1","870","MGH"
"224","AS605240","KIN001-173, AS-605240","PI3Kgamma","PI3K/MTOR signaling","5289247","GDSC1","908","MGH"
"381","AST-1306","","EGFR, ERBB4","RTK signaling","","GDSC1","903","MGH"
"219","AT-7519","AT7519","CDK1, CDK2, CDK4, CDK6, CDK9","Cell cycle","11338033","GDSC1","902","MGH"
"356","AT7867","","AKT","PI3K/MTOR signaling","","GDSC1","919","MGH"
"29","AZ628","AZ-628, AZ 628","BRAF","ERK MAPK signaling","11676786","GDSC1","401","MGH"
"156","AZD6482","AZD 6482, AZD-6482, AK-55409","PI3Kbeta","PI3K/MTOR signaling","44137675","GDSC1","876","MGH"
"281","Alectinib","CH5424802, CH 542802, Alecensa","ALK","RTK signaling","49806720","GDSC1","911","MGH"
"431","Alisertib","MLN8237","AURKA","Mitosis","","GDSC1","891","MGH"
"293","Amuvatinib","MP470, MP 470, MP-470","KIT, PDGFRA, FLT3","RTK signaling","11282283","GDSC1","906","MGH"
"382","Apitolisib","GDC0980","mTOR, PI3K","PI3K/MTOR signaling","","GDSC1","907","MGH"
"427","Ara-G","9-??-D-Arabinofuranosyl guanine","Anti-metabolite","Other","","GDSC1","906","MGH"
"205","Avagacestat","BMS-708163, BMS 708163","Amyloid beta20, Amyloid beta40","Other","46883536","GDSC1","914","MGH"
"552","BAM7","","Bax activator","Other","","GDSC1","908","MGH"
"178","BAY-61-3606","Syk Inhibitor, BAY-613606","SYK","Other, kinases","10200390","GDSC1","871","MGH"
"60","BI-2536","","PLK1, PLK2, PLK3","Cell cycle","11364421","GDSC1","395","MGH"
"380","BIBF-1120","","VEGFR, PDGFR, FGFR","RTK signaling","","GDSC1","918","MGH"
"279","BIX02189","BIX 02189","MEK5, ERK5","ERK MAPK signaling","46931012","GDSC1","911","MGH"
"203","BMS-345541","BMS345541, IKK Inhibitor 3","IKK1, IKK2","Other, kinases","9813758","GDSC1","916","MGH"
"63","BMS-509744","KIN001-127, ITK inhibitor","ITK","Other, kinases","20635522","GDSC1","398","MGH"
"62","BMS-536924","BMS 536924","IGF1R, IR","IGF1R signaling","10390396","GDSC1","396","MGH"
"184","BMS-754807","BMS754807, BMS 754807","IGF1R, IR","RTK signaling","24785538","GDSC1","865","MGH"
"222","BX-912","","PDK1 (PDPK1)","Metabolism","11754511","GDSC1","914","MGH"
"274","Belinostat","PXD101, PXD-101","HDAC1","Chromatin histone acetylation","6918638","GDSC1","886","MGH"
"186","Bexarotene","LG-100069, Targretin, Targret, Targrexin, Targretyn, Bexarotenum","Retinioic X receptor (RXR) agonist","Other","82146","GDSC1","861","MGH"
"150","Bicalutamide","ICI-176334, Casodex, Cosudex, ICI 176334","AR","Hormone-related","2375","GDSC1","871","MGH"
"190","Bleomycin","","dsDNA break induction","DNA replication","several","GDSC1","856","MGH"
"104","Bortezomib","PS-341, LDP-341, Velcade","Proteasome","Protein stability and degradation","387447","GDSC1","393","MGH"
"376","Brivanib, BMS-540215","","VEGFR, PDGFR","RTK signaling","","GDSC1","918","MGH"
"197","Bryostatin 1","Bryostatin","PKC","Other","5280757","GDSC1","867","MGH"
"435","C-75","","FAS","Apoptosis regulation","","GDSC1","908","MGH"
"436","CAP-232, TT-232, TLN-232","","Glycolysis","Metabolism","","GDSC1","906","MGH"
"416","CAY10566","","Stearoyl-CoA desaturase","Other","","GDSC1","903","MGH"
"276","CAY10603","","HDAC1, HDAC6","Chromatin histone acetylation","24951314","GDSC1","903","MGH"
"449","CD532","","AURKA","Mitosis","","GDSC1","920","MGH"
"54","CGP-082996","CINK4, KIN001-021","CDK4","Cell cycle","24825971","GDSC1","397","MGH"
"53","CGP-60474","KIN001-019, CGP60474, CGP 60474","CDK1,CDK2,CDK5,CDK7,CDK9, PKC","Cell cycle","644215","GDSC1","397","MGH"
"154","CHIR-99021","CT 99021, CHIR99021, CHIR 99021","GSK3A, GSK3B","WNT signaling","9956119","GDSC1","877","MGH"
"362","CI-1033","","EGFR, ERBB2, ERBB4","RTK signaling","","GDSC1","916","MGH"
"64","CMK","KIN001-128","RSK2","Other, kinases","16663089","GDSC1","397","MGH"
"152","CP466722","CP-466722, CP 466722, 1080622-86-1","ATM","Genome integrity","44551660","GDSC1","915","MGH"
"255","CP724714","CP-724714","ERBB2","EGFR signaling","9874913","GDSC1","914","MGH"
"415","CPI-613","","Metabo, Mitochondria","Other","","GDSC1","909","MGH"
"273","CUDC-101","CUDC 101","HDAC1-10, EGFR, ERBB2","Other","24756910","GDSC1","893","MGH"
"300","CX-5461","CX5461, CX 5461","RNA Polymerase 1","Other","25257557","GDSC1","906","MGH"
"249","Cabozantinib","BMS-907351, XL-184, Cometriq","VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL","RTK signaling","25102847","GDSC1","911","MGH"
"37","Crizotinib","Xalkori, PF2341066, PF-2341066, PF 2341066","MET, ALK, ROS1","RTK signaling","11626560","GDSC1","405","MGH"
"17","Cyclopamine","","SMO","Other","several","GDSC1","395","MGH"
"165","DMOG","Dimethyloxalylglcine","HIF-PH","Metabolism","560326","GDSC1","876","MGH"
"200","Dacinostat","NVP-LAQ824, LAQ824","HDAC1","Chromatin histone acetylation","6445533","GDSC1","871","MGH"
"51","Dasatinib","BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","RTK signaling","3062316","GDSC1","392","MGH"
"133","Doxorubicin","Doxil, Rubex, Adriamycin, Adriablastin, Doxorubicine","Anthracycline","DNA replication","31703","GDSC1","870","MGH"
"447","ETP-45835","","MNK1, MNK2","Other, kinases","","GDSC1","919","MGH"
"172","Embelin","Emberine, Embelic acid","XIAP","Apoptosis regulation","3218","GDSC1","873","MGH"
"88","Entinostat","MS-275","HDAC1, HDAC3","Chromatin histone acetylation","4261","GDSC1","394","MGH"
"229","Enzastaurin","LY317615","PKCB","Other, kinases","176167","GDSC1","912","MGH"
"201","Epothilone B","Patupilone, EpoB, EPO906, GNF-PF-193","Microtubule stabiliser","Mitosis","448013","GDSC1","868","MGH"
"1","Erlotinib","Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415","EGFR","EGFR signaling","176870","GDSC1","393","MGH"
"134","Etoposide","Etopophos, Vepesid, Eposin, VP-16","TOP2","DNA replication","36462","GDSC1","879","MGH"
"173","FH535","","PPARgamma, PPARdelta","Other","3463933","GDSC1","868","MGH"
"231","FMK","KIN001-242","RSK","Other, kinases","none","GDSC1","784","MGH"
"263","FR-180204","FR 180204, FR180204, ERK Inhibitor II","ERK1, ERK2","ERK MAPK signaling","11493598","GDSC1","912","MGH"
"166","FTI-277","","Farnesyl-transferase (FNTA)","Other","3005532","GDSC1","880","MGH"
"546","FTY-720","Fingolimod hydrochloride; Gilenya; TDI-132; Imusera; Gilenia","S1P","Other","","GDSC1","909","MGH"
"306","Fedratinib","TG101348, TG-101348, SAR302503, SAR-302503","JAK2","Other, kinases","16722836","GDSC1","914","MGH"
"432","Flavopiridol","","CDK","Cell cycle","","GDSC1","904","MGH"
"308","Foretinib","GSK1363089, XL-880, EXEL-2880, GSK089","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","RTK signaling","42642645","GDSC1","909","MGH"
"52","GNF-2","KIN001-013","BCR-ABL","ABL signaling","5311510","GDSC1","395","MGH"
"374","GSK1059615","","PI3K","PI3K/MTOR signaling","","GDSC1","904","MGH"
"226","GSK1070916","GSK-1070916","AURKA, AURKC","Mitosis","46885626","GDSC1","868","MGH"
"202","GSK1904529A","GSK-1904529A, GSK 1904529A","IGF1R, IR","RTK signaling","25124816","GDSC1","870","MGH"
"127","GSK269962A","GSK 269962A","ROCK1, ROCK2","Cytoskeleton","16095342","GDSC1","398","MGH"
"91","GSK319347A","KIN001-135, IKK-3 inhibitor","IKK","Other, kinases","11626927","GDSC1","400","MGH"
"230","GSK429286A","","ROCK1, ROCK2","Cytoskeleton","11373846","GDSC1","913","MGH"
"177","GSK650394","GSK-650394, GSK 650394","SGK2, SGK3","Other, kinases","25022668","GDSC1","864","MGH"
"326","GSK690693","GSK 690693, GSK-690693","AKT1, AKT2, AKT3","PI3K/MTOR signaling","16725726","GDSC1","910","MGH"
"193","GW-2580","GX2580, CFMS receptor tyrosine kinase inhibitor","CSF1R","RTK signaling","11617559","GDSC1","914","MGH"
"87","GW843682X","GW843682X (AN-13)","PLK1","Cell cycle","9826308","GDSC1","394","MGH"
"135","Gemcitabine","Gemzar, LY-188011","Pyrimidine antimetabolite","DNA replication","60750","GDSC1","859","MGH"
"225","Genentech Cpd 10","","AURKA, AURKB","Mitosis","none","GDSC1","912","MGH"
"159","HG6-64-1","KIN001-206","BRAF","ERK MAPK signaling","53302361","GDSC1","875","MGH"
"275","I-BET-762","GSK525762A","BRD2, BRD3, BRD4","Chromatin other","46943432","GDSC1","909","MGH"
"236","IC-87114","","PI3Kdelta","PI3K/MTOR signaling","","GDSC1","913","MGH"
"442","IMD-0354","","IKKb","Other, kinases","","GDSC1","912","MGH"
"176","IPA-3","IPA 3","PAK1","Cytoskeleton","521106","GDSC1","869","MGH"
"238","Idelalisib","CAL-101, Zydelig","PI3Kdelta","PI3K/MTOR signaling","11625818","GDSC1","914","MGH"
"34","Imatinib","Gleevec, STI-571","ABL, KIT, PDGFR","Other, kinases","5291","GDSC1","404","MGH"
"208","Ispinesib Mesylate","SB-715992","KSP","Mitosis","6450816","GDSC1","911","MGH"
"284","JNJ38877605","","MET","RTK signaling","","GDSC1","917","MGH"
"157","JNK-9L","KIN001-204, JNK inhibitor 9l","JNK2, JNK3","JNK and p38 signaling","25222038","GDSC1","879","MGH"
"163","JQ1","JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT","Chromatin other","46907787","GDSC1","879","MGH"
"164","JQ12","","HDAC1, HDAC2","Chromatin histone acetylation","none","GDSC1","873","MGH"
"256","JW-7-24-1","","LCK","Other, kinases","none","GDSC1","914","MGH"
"83","JW-7-52-1","NA","MTOR","PI3K/MTOR signaling","49836027","GDSC1","382","MGH"
"289","KIN001-042","","GSK3B","WNT signaling","","GDSC1","917","MGH"
"286","KIN001-236","","HDAC6, HDAC10","Chromatin histone acetylation","none","GDSC1","912","MGH"
"287","KIN001-244","PDK1 inhibitor 7","PDK1","Other, kinases","56965967","GDSC1","911","MGH"
"290","KIN001-260","Bayer IKKb inhibitor, ACHP","CDC7","DNA replication","10451420","GDSC1","911","MGH"
"291","KIN001-266","","CDC7","DNA replication","44143370","GDSC1","911","MGH"
"345","KIN001-270","CDK9 inhibitor, CDK9-IN-1","CDK9","Other","66577006","GDSC1","912","MGH"
"563","Kobe2602","","RAS effector","RTK signaling","","GDSC1","907","MGH"
"439","LCL161","","XIAP, cIAP1, cIAP2","Apoptosis regulation","","GDSC1","905","MGH"
"478","LDN-193189","","BMP","Other","","GDSC1","907","MGH"
"192","LFM-A13","DDE-28","BTK","Other, kinases","54676905","GDSC1","871","MGH"
"573","LGK974","","PORCN","WNT signaling","","GDSC1","905","MGH"
"406","LIMK1 inhibitor BMS4","","LIMK1","Cytoskeleton","","GDSC1","919","MGH"
"119","Lapatinib","Tykerb, Tyverb","EGFR, ERBB2","RTK signaling","208908","GDSC1","395","MGH"
"277","Linifanib","ABT-869, ABT 869","VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT","RTK signaling","11485656","GDSC1","914","MGH"
"185","Linsitinib","OSI-906, ASP-7487","IGF1R","IGF1R signaling","11640390","GDSC1","867","MGH"
"194","Luminespib","AUY922, VER-52296,NVP-AUY922,  AUY","HSP90","Protein stability and degradation","10096043","GDSC1","862","MGH"
"9","MG-132","LLL cpd, MG 132, MG132","Proteasome, CAPN1","Protein stability and degradation","462382","GDSC1","398","MGH"
"446","MIM1","","MCL-1","Apoptosis regulation","","GDSC1","901","MGH"
"294","MPS-1-IN-1","","MPS1","Mitosis","25195352","GDSC1","910","MGH"
"292","Masitinib","AB1010, Masivet","KIT, PDGFRA, PDGFRB","RTK signaling","10074640","GDSC1","913","MGH"
"410","MetAP2 Inhibitor, A832234","","MetAP2","Other","","GDSC1","903","MGH"
"153","Midostaurin","PKC412, benzoylstaurosporine, CGP-41251","PKC, PPK, FLT1, c-FGR, others","Other","several","GDSC1","881","MGH"
"136","Mitomycin-C","Mytozytrex, NSC-26980, MMC, Mitosol, Mitozytrex","DNA crosslinker","DNA replication","5746","GDSC1","870","MGH"
"260","NG-25","NG25","TAK1, M4K2","Other, kinases","53340664","GDSC1","912","MGH"
"257","NPK76-II-72-1","","PLK3","Cell cycle","none","GDSC1","911","MGH"
"269","NSC-207895","XI-006, NSC207895","MDM4","p53 pathway","42640","GDSC1","908","MGH"
"147","NSC-87877","NSC 87877","SHP-1 (PTPN6), SHP-2 (PTPN11)","Other","5459322","GDSC1","877","MGH"
"461","NSC319726","","P53 Mut specific","p53 pathway","","GDSC1","873","MGH"
"295","NVP-BHG712","BHG712","EPHB4, RAF, SRC, ABL","Other, kinases","16747388","GDSC1","912","MGH"
"35","NVP-TAE684","NVP-TAE 684, TAE684, TAE-684","ALK","RTK signaling","16038120","GDSC1","403","MGH"
"299","OSI-027","A-1065-5","MTORC1, MTORC2","PI3K/MTOR signaling","44224160","GDSC1","900","MGH"
"298","OSI-930","OSI 930 OSI930","KIT, VEGFR2","RTK signaling","9868037","GDSC1","913","MGH"
"167","OSU-03012","AR-12, OSU 03012, OSU03012, PDK1 inhibitor AR-12","PDK1 (PDPK1)","Metabolism","10027278","GDSC1","870","MGH"
"182","Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","BCL2, BCL-XL, BCL-W, MCL1","Apoptosis regulation","11404337","GDSC1","862","MGH"
"283","Omipalisib","GSK2126458, GSK-2126458, EX-8678, GSK458","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","25167777","GDSC1","914","MGH"
"175","PAC-1","GTPL5238","Procaspase-3, Procaspase-7","Apoptosis regulation","6753378","GDSC1","857","MGH"
"363","PF-00299804","","EGFR, ERBB2, ERBB4","RTK signaling","","GDSC1","909","MGH"
"158","PF-562271","PF-00562271","FAK, FAK2","Cytoskeleton","11713159","GDSC1","864","MGH"
"6","PHA-665752","PHA665752, PHA 665752","MET","RTK signaling","10461815","GDSC1","405","MGH"
"301","PHA-793887","PHA793887, PHA 793887","CDK2, CDK7, CDK5","Cell cycle","46191454","GDSC1","912","MGH"
"302","PI-103","PI-103, PI103, PI 103","PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases","9884685","GDSC1","902","MGH"
"303","PIK-93","PIK 93, PIK93","PK3CG","PI3K/MTOR signaling","6852167","GDSC1","911","MGH"
"11","Paclitaxel","BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane","Microtubule stabiliser","Mitosis","36314","GDSC1","395","MGH"
"438","Panobinostat","Farydak, LBH589","HDAC","Chromatin histone acetylation","","GDSC1","898","MGH"
"89","Parthenolide","","HDAC1","Chromatin histone acetylation","7251185","GDSC1","400","MGH"
"199","Pazopanib","Votrient","CSF1R, KIT,  PDGFRA, PDGFRB","RTK signaling","10113978","GDSC1","866","MGH"
"282","Pelitinib","EKB-569, EKB 569","EGFR","EGFR signaling","6445562","GDSC1","913","MGH"
"428","Pemetrexed","","TYMS","DNA replication","","GDSC1","899","MGH"
"196","Phenformin","DBI","Biguanide agent","Other","8249","GDSC1","901","MGH"
"372","Pilaralisib","XL-147","PI3K","PI3K/MTOR signaling","","GDSC1","919","MGH"
"155","Ponatinib","AP24534, AP-24534, KIN001-192, Iclusig","ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3","Other, kinases","24826799","GDSC1","877","MGH"
"71","Pyrimethamine","Daraprim, Chloridine","Dihydrofolate reductase (DHFR)","Other","4993","GDSC1","398","MGH"
"331","QL-X-138","","BTK","Other, kinases","none","GDSC1","903","MGH"
"329","QL-XI-92","","DDR1","Cytoskeleton","none","GDSC1","914","MGH"
"235","QL-XII-47","","BTK, BMX","Other, kinases","none","GDSC1","906","MGH"
"151","QS11","944328-88-5","ARFGAP1","Other","4263900","GDSC1","872","MGH"
"254","Quizartinib","AC220, AC 220, AC-220, Asp-2689","FLT3","RTK signaling","24889392","GDSC1","914","MGH"
"576","RU-SKI 43","","Shh","Other","","GDSC1","908","MGH"
"3","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","5384616","GDSC1","357","MGH"
"206","Ruxolitinib","INCB-18424, Ruxolitinib Phosphate, Jakafi","JAK1, JAK2","Other, kinases","25126798","GDSC1","916","MGH"
"41","S-Trityl-L-cysteine","NSC 83265, Tritylcysteine","KIF11","Mitosis","76044","GDSC1","396","MGH"
"476","SB505124","SB 505124, SB505124","TGFBR1, ACVR1B, ACVR1C","RTK signaling","","GDSC1","904","MGH"
"304","SB52334","SB-52334, SB 52334","ALK5","RTK signaling","9967941","GDSC1","910","MGH"
"328","SNX-2112","SNX 2112","HSP90","Protein stability and degradation","24772860","GDSC1","902","MGH"
"258","STF-62247","STF62247","Autophagy inducer","Other","704473","GDSC1","910","MGH"
"285","SU11274","","MET","RTK signaling","","GDSC1","918","MGH"
"111","Salubrinal","EIF-2alpha Inhibitor","EIF2A","Other","5717801","GDSC1","396","MGH"
"38","Saracatinib","AZD0530, AZD-0530, AZ-10353926","ABL, SRC","Other, kinases","10302451","GDSC1","404","MGH"
"110","Seliciclib","Roscovitine, CYC-202, AL-39256","CDK2, CDK7, CDK9","Cell cycle","160355","GDSC1","394","MGH"
"341","Selisistat","EX-527, EX 527","SIRT1","Chromatin histone acetylation","5113032","GDSC1","909","MGH"
"268","Sepantronium bromide","YM155, YM-155, YM 155","BIRC5","Apoptosis regulation","11178236","GDSC1","872","MGH"
"170","Shikonin","Anchusin","not defined","Other","5208","GDSC1","873","MGH"
"30","Sorafenib","Nexavar, 284461-73-0, BAY 43-9006","PDGFR, KIT, VEGFR, RAF","RTK signaling","216239","GDSC1","396","MGH"
"408","Sphingosine Kinase 1 Inhibitor II","PF-543","Sphingosine Kinase","Other, kinases","","GDSC1","919","MGH"
"5","Sunitinib","Sutent, Sunitinib Malate, SU-11248","PDGFR, KIT, VEGFR, FLT3, RET, CSF1R","RTK signaling","5329102","GDSC1","396","MGH"
"333","T0901317","TO-901317, TO901317","LXR, FXR","Other","447912","GDSC1","907","MGH"
"221","TAK-715","KIN001-201, TAK 715","p38alpha, p38beta","JNK and p38 signaling","9952773","GDSC1","916","MGH"
"94","TGX221","TGX-221, Tgx 221","PI3Kbeta","PI3K/MTOR signaling","9907093","GDSC1","398","MGH"
"346","THZ-2-102-1","","CDK7","Cell cycle","none","GDSC1","890","MGH"
"344","THZ-2-49","","CDK9","Cell cycle","none","GDSC1","899","MGH"
"261","TL-1-85","","TAK1, MAP4K2","Other, kinases","none","GDSC1","912","MGH"
"211","TL-2-105","","not defined","Other","none","GDSC1","915","MGH"
"305","TPCA-1","","IKK2","Other, kinases","9903786","GDSC1","912","MGH"
"366","TWS119","","GSK3","WNT signaling","","GDSC1","919","MGH"
"342","Tenovin-6","","SIRT","Chromatin histone acetylation","","GDSC1","919","MGH"
"180","Thapsigargin","Octanoic acid","SERCA","Other","446378","GDSC1","852","MGH"
"204","Tipifarnib","Zarnestra","Farnesyl-transferase (FNTA)","Other","159324","GDSC1","871","MGH"
"312","Tivozanib","AV-951, AV 951, KRN-951, KIL8951, ASP-4130","VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT","RTK signaling","9911830","GDSC1","912","MGH"
"371","Torin 2","","mTOR","PI3K/MTOR signaling","","GDSC1","871","MGH"
"32","Tozasertib","MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68","AURKA, AURKB, AURKC, others","Mitosis","5494449","GDSC1","392","MGH"
"437","Trichostatin A","","HDAC","Chromatin histone acetylation","","GDSC1","905","MGH"
"265","Tubastatin A","","HDAC1, HDAC6, HDAC8","Chromatin histone acetylation","53394750","GDSC1","910","MGH"
"245","UNC0638","UNC-0638, UNC 0683","G9a and GLP methyltransferases","Chromatin histone methylation","46224516","GDSC1","907","MGH"
"271","VNLG/124","HDAC inhibitor XV","HDAC,RAR","Chromatin histone acetylation","24894414","GDSC1","908","MGH"
"262","VX-11e","VX11e, VX11e","ERK2","ERK MAPK signaling","11634725","GDSC1","912","MGH"
"412","Venotoclax","ABT-199, Veneclexta, GDC-0199","BCL-2 selective","Apoptosis regulation","","GDSC1","905","MGH"
"140","Vinorelbine","vinorelbine tartrate, Navelbine, Exelbine","Microtubule destabiliser","Mitosis","5311497","GDSC1","880","MGH"
"375","Voxtalisib","XL-765, SAR245409","PI3K (class 1), DNAPK, MTOR","PI3K/MTOR signaling","","GDSC1","919","MGH"
"56","WH-4-023","KIN001-112","SRC, LCK","Other, kinases","11844351","GDSC1","394","MGH"
"288","WHI-P97","AC1L1GQE, KIN001-055","JAK3","Other, kinases","3796","GDSC1","912","MGH"
"317","WYE-125132","","mTOR","PI3K/MTOR signaling","","GDSC1","906","MGH"
"59","WZ-1-84","KIN001-123","BMX","Other, kinases","49821040","GDSC1","397","MGH"
"252","WZ3105","","SRC, ROCK2, NTRK2, FLT3, IRAK1, others","Other","none","GDSC1","914","MGH"
"574","Wnt-C59","","PORCN","WNT signaling","","GDSC1","907","MGH"
"330","XMD13-2","","MRCKB","Cytoskeleton","none","GDSC1","913","MGH"
"253","XMD14-99","","ALK, CDK7, LTK, others","Other, kinases","none","GDSC1","914","MGH"
"332","XMD15-27","","CAMK2","Other, kinases","none","GDSC1","914","MGH"
"106","XMD8-85","ERK5-IN-1","ERK5, BET","Other","46844147","GDSC1","395","MGH"
"309","Y-39983","","ROCK","Cytoskeleton","9810884","GDSC1","911","MGH"
"310","YM201636","YM-201636, YM 201636","PIKFYVE","PI3K/MTOR signaling","9956222","GDSC1","912","MGH"
"45","Z-LLNle-CHO","Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1","gamma-secretase","Other","16760646","GDSC1","397","MGH"
"223","ZSTK474","KIN001-167, ZSTK-474, ZSTK 474","PI3K (class 1)","PI3K/MTOR signaling","11647372","GDSC1","911","MGH"
"266","Zibotentan","ZD4054, ZD-4054","Endothelin-1 receptor (EDNRA)","Other","9910224","GDSC1","912","MGH"
"409","eEF2K Inhibitor, A-484954","","eEF2K","Other, kinases","","GDSC1","916","MGH"
"407","kb NB 142-70","","PKD","Other, kinases","","GDSC1","919","MGH"
"1242","(5Z)-7-Oxozeaenol","5Z-7-Oxozeaenol, LL-Z1640-2","TAK1","Other, kinases","9863776","GDSC1","899","SANGER"
"1359","965-D2","","MKNK1, MKNK2, PIM1, PIM3","Other, kinases","","GDSC1","832","SANGER"
"1360","993-D2","","MKNK1, MKNK2","Other, kinases","","GDSC1","834","SANGER"
"1001","AICA Ribonucleotide","AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide","AMPK agonist","Metabolism","65110","GDSC1","925","SANGER"
"1184","AZ20","","ATR","Genome integrity","","GDSC1","926","SANGER"
"1449","AZD1208","SN1028350371","PIM1, PIM2, PIM3","Other, kinases","","GDSC1","921","SANGER"
"1463","AZD1332","SN1061387896","NTRK1, NTRK2, NTRK3","RTK signaling","","GDSC1","919","SANGER"
"1432","AZD1480","SN1044232195","JAK1, JAK2","Other, kinases","","GDSC1","921","SANGER"
"1441","AZD2014","SN1103949359","mTORC1, mTORC2","PI3K/MTOR signaling","","GDSC1","918","SANGER"
"1382","AZD3514","SN1019841295","AR","Hormone-related","","GDSC1","918","SANGER"
"1497","AZD4547","AZ6","FGFR1, FGFR2, FGFR3","RTK signaling","","GDSC1","873","SANGER"
"1135","AZD4547","AZ6","FGRF1, FGFR2, FGFR3","RTK signaling","","GDSC1","924","SANGER"
"1409","AZD4877","SN1055467765","EG5","Mitosis","","GDSC1","917","SANGER"
"1401","AZD5438","SN1057898678","CDK2","Cell cycle","","GDSC1","916","SANGER"
"1427","AZD5582","SN1021632995","IAP","Other","","GDSC1","908","SANGER"
"1403","AZD6094","SN1042487586","MET","RTK signaling","","GDSC1","919","SANGER"
"1066","AZD6482","AZD 6482, AZD-6482, AK-55409","PIK3CB","PI3K/MTOR signaling","44137675","GDSC1","902","SANGER"
"1394","AZD6738","SN1034081770","ATR","Genome integrity","","GDSC1","919","SANGER"
"1022","AZD7762","AZD-7762, AZD 7762","CHEK1, CHEK2","Cell cycle","11152667","GDSC1","931","SANGER"
"1402","AZD7762","SN1031853762","CHEK1, CHEK2","Cell cycle","","GDSC1","920","SANGER"
"1426","AZD7969","SN1098976045","GSK3B","WNT signaling","","GDSC1","914","SANGER"
"1059","AZD8055","AZD-8055","MTORC1, MTORC2","PI3K/MTOR signaling","25262965","GDSC1","921","SANGER"
