Drug Id, Name, Synonyms, Targets, Target pathway, PubCHEM, Datasets, number of cell lines, Screening site
"1615","CZC24832","GTPL6653","PI3Kgamma","PI3K/MTOR signaling","42623951","GDSC2","894","SANGER"
"1003","Camptothecin","Camptothecine, (+)-Camptothecin","TOP1","DNA replication","24360","GDSC2","968","SANGER"
"1807","Carmustine","","","","","GDSC2","717","SANGER"
"1922","Cediranib","AZD2171, AZD 2171, AZD-2171, Recentin","VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB","RTK signaling","9933475","GDSC2","958","SANGER"
"1005","Cisplatin","cis-Diammineplatinum(II) dichloride, Platinol, CIS-DDP","DNA crosslinker","DNA replication","84691","GDSC2","760","SANGER"
"1083","Crizotinib","Xalkori, PF2341066, PF-2341066, PF 2341066","MET, ALK, ROS1","RTK signaling","11626560","GDSC2","966","SANGER"
"1512","Cyclophosphamide","Cytoxan, Neosar, Cyclophosphamid, Procytox, Cyclophosphane","Alkylating agent","DNA replication","2907","GDSC2","957","SANGER"
"1006","Cytarabine","Ara-Cytidine, Arabinosyl Cytosine, U-19920","Antimetabolite","Other","6253","GDSC2","743","SANGER"
"1373","Dabrafenib","GSK2118436, Tafinlar","BRAF","ERK MAPK signaling","44462760","GDSC2","954","SANGER"
"1815","Dacarbazine","DTIC","CP11A","Other","","GDSC2","717","SANGER"
"1811","Dactinomycin","Actinomycin D","RNA polymerase","Other","","GDSC2","717","SANGER"
"1911","Dactinomycin","Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD","RNA polymerase","Other","several","GDSC2","942","SANGER"
"1057","Dactolisib","NVP-BEZ235, BEZ235","PI3K (class 1), MTORC1, MTORC2","PI3K/MTOR signaling","11977753","GDSC2","958","SANGER"
"1248","Daporinad","APO866,  FK866, FK866","NAMPT","Metabolism","6914657","GDSC2","595","SANGER"
"1079","Dasatinib","BMS-354825-03, BMS-354825, Sprycel","ABL, SRC, Ephrins, PDGFR, KIT","Other, kinases","3062316","GDSC2","962","SANGER"
"1827","Dihydrorotenone","","","Unclassified","","GDSC2","715","SANGER"
"1180","Dinaciclib","SCH727965, SCH 727965, SCH-727-965, MK-7965","CDK1, CDK2, CDK5, CDK9","Cell cycle","46926350","GDSC2","891","SANGER"
"1007","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","148124","GDSC2","967","SANGER"
"1819","Docetaxel","RP-56976, Taxotere","Microtubule stabiliser","Mitosis","","GDSC2","670","SANGER"
"1042","Doramapimod","BIRB-796, BIRB 796","p38, JNK2","JNK and p38 signaling","156422","GDSC2","955","SANGER"
"1069","EHT-1864","EHT 1864","RAC1, RAC2, RAC3","Cytoskeleton","9938202","GDSC2","943","SANGER"
"1237","EPZ004777","EPZ-004777","DOT1L","Chromatin histone methylation","56962336","GDSC2","965","SANGER"
"1563","EPZ5676","EPZ-5676, Pinometostat","DOT1L","Chromatin histone methylation","57345410","GDSC2","962","SANGER"
"1713","ERK_2440","SN1051032892, ERK_2440","ERK1,ERK2","ERK MAPK signaling","","GDSC2","717","SANGER"
"1714","ERK_6604","SN1047587618, ERK_6604","ERK1,ERK2","ERK MAPK signaling","","GDSC2","717","SANGER"
"1712","Eg5_9814","SN1047613775, Eg5_9814","KSP11","Other","","GDSC2","713","SANGER"
"1835","Elephantin","","","Unclassified","","GDSC2","717","SANGER"
"1031","Elesclomol","STA-4783","HSP90","Protein stability and degradation","300471","GDSC2","225","SANGER"
"1593","Entinostat","MS-275","HDAC1, HDAC3","Chromatin histone acetylation","4261","GDSC2","898","SANGER"
"1630","Entospletinib","GS-9973","SYK","Other, kinases","59473233","GDSC2","894","SANGER"
"1511","Epirubicin","Ellence, Farmorubicin, IMI-28","Anthracycline","DNA replication","41867","GDSC2","958","SANGER"
"1168","Erlotinib","Tarceva, RG-1415, CP-358774, OSI-774, Ro-508231, R-1415","EGFR","EGFR signaling","176870","GDSC2","955","SANGER"
"1813","Fludarabine","Fludara","Antimetabolite","DNA replication","","GDSC2","717","SANGER"
"2040","Foretinib","GSK1363089, XL-880, EXEL-2880, GSK089","MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","RTK signaling","42642645","GDSC2","953","SANGER"
"1200","Fulvestrant","Faslodex, ICI-182780","ESR","Hormone-related","104741","GDSC2","963","SANGER"
"1816","Fulvestrant","","ESR","Hormone-related","","GDSC2","717","SANGER"
"1925","GDC0810","GDC-0810, GDC 0810","ESR1, ESR2","Hormone-related","56941241","GDSC2","958","SANGER"
"1926","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","70676303","GDSC2","944","SANGER"
"1583","GSK-LSD1","N-((1R,2S)-2-phenylcyclopropyl)piperidin-4-amine","KDM1","Chromatin histone methylation","","GDSC2","716","SANGER"
"2154","GSK-LSD1-2HCl ","","LSD1","Chromatin histone methylation","","GDSC2","739","SANGER"
"1093","GSK1904529A","GSK-1904529A, GSK 1904529A","IGF1R, IR","IGF1R signaling","25124816","GDSC2","965","SANGER"
"1778","GSK2110183B","","AKT1, AKT2, AKT3","PI3K/MTOR signaling","","GDSC2","717","SANGER"
"1776","GSK2256098C","","FAK1","Cytoskeleton","","GDSC2","717","SANGER"
"1777","GSK2276186C","","JAK1, JAK2, JAK3","Other, kinases","","GDSC2","717","SANGER"
"1927","GSK2578215A","GSK 2578215A,  GSK-2578215A","LRRK2","Other, kinases","68107965","GDSC2","958","SANGER"
"1618","GSK2606414","AK175551","PERK","Metabolism","53469448","GDSC2","886","SANGER"
"1192","GSK269962A","GSK 269962A","ROCK1, ROCK2","Cytoskeleton","16095342","GDSC2","268","SANGER"
"1580","GSK2801","1-(7-(2-methylsulfonyl-phenyl)-4-propoxy-1-aza-bicyclo[4.3.0]nona-2,4,6,8-tetraen-9-yl)-ethanone","","Chromatin other","","GDSC2","717","SANGER"
"2359","GSK2830371","None","WIP1","Other","70983932","GDSC2","731","SANGER"
"1782","GSK2830371A","","PPM1D","Other","","GDSC2","717","SANGER"
"1780","GSK3337463A","","NIK","Other, kinases","","GDSC2","717","SANGER"
"1627","GSK343","GTPL8240, AOB3680, AK175558","EZH2","Chromatin histone methylation","71268957","GDSC2","893","SANGER"
"2037","GSK343","","EZH2","Chromatin histone methylation","","GDSC2","741","SANGER"
"2110","GSK591","EPZ015866, GSK3203591","PMRT5","Chromatin histone methylation","117072552","GDSC2","954","SANGER"
"1779","GSK626616AC","","DYRK1A","Other, kinases","","GDSC2","717","SANGER"
"1023","GW441756","GW 441756","NTRK1","RTK signaling","9943465","GDSC2","953","SANGER"
"1830","Gallibiscoquinazole","","","Unclassified","","GDSC2","717","SANGER"
"1010","Gefitinib","ZD-1839, Iressa","EGFR","EGFR signaling","123631","GDSC2","958","SANGER"
"1190","Gemcitabine","Gemzar, LY-188011","Pyrimidine antimetabolite","DNA replication","60750","GDSC2","960","SANGER"
"2010","HKMTI-1-005","","","Unclassified","","GDSC2","741","SANGER"
"1624","I-BET-762","GSK525762A","BRD2, BRD3, BRD4","Chromatin other","46943432","GDSC2","893","SANGER"
"1928","I-BRD9","GSK602, GSK 602, GSK-602","BRD9","Chromatin other","91668541","GDSC2","958","SANGER"
"1428","IAP_5620","SN1043546339","IAP","Other","","GDSC2","714","SANGER"
"2011","ICL-SIRT078","","SIR2","Other","","GDSC2","740","SANGER"
"1738","IGF1R_3801","SN1051640224, IGF1R_3801","IGFR1","IGF1R signaling","","GDSC2","716","SANGER"
"2174","IOX2","IOX-2, IOX 2, AK176060","EGLN1","Other","54685215","GDSC2","225","SANGER"
"1716","IRAK4_4710","SN1050852374, IRAK4_4710","IRAK4","Other, kinases","","GDSC2","717","SANGER"
"1576","IWP-2","Wnt Inhibitor IWP-2","PORCN","WNT signaling","2155128","GDSC2","893","SANGER"
"1799","Ibrutinib","PCI-32765, CRA-032765, PCI-32765-00","BTK","Other, kinases","24821094","GDSC2","890","SANGER"
"1924","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","24788740","GDSC2","958","SANGER"
"1088","Irinotecan","Camptosar, (+)-Irinotecan, Irinotecanum, irinotecan hydrochloride","TOP1","DNA replication","60838","GDSC2","965","SANGER"
"1718","JAK1_8709","SN1049200060, JAK1_8709","JAK1","Other, kinases","","GDSC2","717","SANGER"
"1739","JAK_8517","SN1066590414, JAK_8517","JAK1, JAK2","Other, kinases","","GDSC2","717","SANGER"
"1043","JNK Inhibitor VIII","","JNK","JNK and p38 signaling","11624601","GDSC2","950","SANGER"
"2172","JQ1","JQ-1, (+)-JQ-1","BRD2, BRD3, BRD4, BRDT","Chromatin other","46907787","GDSC2","949","SANGER"
"1855","KRAS (G12C) Inhibitor-12","GTPL8020","KRAS (G12C)","ERK MAPK signaling","73555129","GDSC2","894","SANGER"
"1030","KU-55933","KU55933","ATM","Genome integrity","5278396","GDSC2","955","SANGER"
"1831","L-Oxonoreleagnine","","","Unclassified","","GDSC2","717","SANGER"
"1557","LCL161","","XIAP, IAP1, IAP2","Apoptosis regulation","24737642","GDSC2","893","SANGER"
"1598","LGK974","LGK-974","PORCN","WNT signaling","46926973","GDSC2","964","SANGER"
"2107","LJI308","","RSK2, RSK1, RSK3","PI3K/MTOR signaling","118704762","GDSC2","954","SANGER"
"1783","LMB_AB1","","ADRA1A, ADRB1","Other","","GDSC2","717","SANGER"
"1784","LMB_AB2","","GADD34","Unclassified","","GDSC2","717","SANGER"
"1785","LMB_AB3","","PPP1R15B","Other","","GDSC2","717","SANGER"
"1843","LMP744","MJ-III-65","TOP1","DNA replication","","GDSC2","717","SANGER"
"1852","LY2109761","5XE","TGFB1","Other","11655119","GDSC2","892","SANGER"
"1558","Lapatinib","Tykerb, Tyverb","EGFR, ERBB2","EGFR signaling","208908","GDSC2","966","SANGER"
"1578","Leflunomide","Sulol, SU-101, HWA-486, Arava","Pyrimidine synthesis inhibitor","DNA replication","3899","GDSC2","894","SANGER"
"1020","Lenalidomide","CDC-501, CC-5013, Revlimid","CRBN","Protein stability and degradation","216326","GDSC2","949","SANGER"
"1024","Lestaurtinib","CEP-701, SP-924, SPM-924, A-154475, KT-555","FLT3, JAK2, NTRK1, NTRK2, NTRK3","Other, kinases","126565","GDSC2","947","SANGER"
"1510","Linsitinib","OSI-906, ASP-7487","IGF1R","IGF1R signaling","11640390","GDSC2","966","SANGER"
"1559","Luminespib","AUY922, VER-52296,NVP-AUY922,  AUY","HSP90","Protein stability and degradation","10096043","GDSC2","964","SANGER"
"1862","MG-132","LLL cpd, MG 132, MG132","Proteasome, CAPN1","Protein stability and degradation","462382","GDSC2","969","SANGER"
"1996","MIM1","MIM 1, MIM-1","MCL1","Apoptosis regulation","16241412","GDSC2","743","SANGER"
"1931","MIRA-1","MIRA 1, MIRA1, NSC19630, NSC-19630, NSC 19630","TP53","p53 pathway","227681","GDSC2","966","SANGER"
"1179","MK-1775","AZD1775, Adavosertib","WEE1, PLK1","Cell cycle","24856436","GDSC2","967","SANGER"
"1053","MK-2206","MK 2206, MK2206","AKT1, AKT2","PI3K/MTOR signaling","46930998","GDSC2","968","SANGER"
"2046","MK-8776","SCH900776","CHEK1, CHEK2, CDK2","Cell cycle","16224745","GDSC2","952","SANGER"
"1629","ML323","GTPL7898, AOB2313,","USP1, UAF1","Protein stability and degradation","60167849","GDSC2","892","SANGER"
"1854","MN-64","","TNKS1, TNKS2","WNT signaling","2802462","GDSC2","894","SANGER"
"1008","Methotrexate","Abitrexate, Amethopterin, Rheumatrex, Trexall, Folex","Antimetabolite","DNA replication","126941","GDSC2","881","SANGER"
"1048","Mirin","","MRE11","Genome integrity","none","GDSC2","894","SANGER"
"1810","Mitoxantrone","","TOP2","DNA replication","","GDSC2","717","SANGER"
"1029","Motesanib","AMG-706, AMG 706, AMG706","VEGFR, RET, KIT, PDGFR","RTK signaling","11667893","GDSC2","949","SANGER"
"2055","Mycophenolic acid","","","Unclassified","","GDSC2","737","SANGER"
"2499","N-acetyl cysteine","NAC","Metabolism","Metabolism","None","GDSC2","735","SANGER"
"1999","N25720-51-A1","","","Unclassified","","GDSC2","742","SANGER"
"2000","N27922-53-1","","","Unclassified","","GDSC2","743","SANGER"
"2003","N29087-69-1","","","Unclassified","","GDSC2","743","SANGER"
"2002","N30652-18-1","","","Unclassified","","GDSC2","743","SANGER"
"1038","NU7441","KU-57788, NU-7432, NU-7741","DNAPK","Genome integrity","11327430","GDSC2","945","SANGER"
"1932","NVP-ADW742","NVP ADW742, NVPADW742","IGF1R","IGF1R signaling","9825149","GDSC2","958","SANGER"
"1011","Navitoclax","ABT-263, ABT263, ABT 263","BCL2, BCL-XL, BCL-W","Apoptosis regulation","24978538","GDSC2","967","SANGER"
"1814","Nelarabine","Atriance, Arranon","","DNA replication","","GDSC2","716","SANGER"
"1013","Nilotinib","Tasigna, AMN 107","ABL","ABL signaling","644241","GDSC2","955","SANGER"
"1177","Niraparib","MK-4827, MK4827","PARP1, PARP2","Genome integrity","24958200","GDSC2","894","SANGER"
"1047","Nutlin-3a (-)","","MDM2","p53 pathway","11433190","GDSC2","968","SANGER"
"1853","OF-1","","BRPF1B, BRPF2","Chromatin histone acetylation","35397514","GDSC2","894","SANGER"
"1594","OSI-027","A-1065-5","MTORC1, MTORC2","PI3K/MTOR signaling","44224160","GDSC2","960","SANGER"
"1626","OTX015","Birabresib, OTX-015, MK-8628","BRD2, BRD3, BRD4","Chromatin other","9936746","GDSC2","893","SANGER"
"1068","Obatoclax Mesylate","GX15-070MS, Obatoclax, GX15-070","BCL2, BCL-XL, BCL-W, MCL1","Apoptosis regulation","11404337","GDSC2","785","SANGER"
"1017","Olaparib","AZD2281, KU0059436,  Lynparza","PARP1, PARP2","Genome integrity","23725625","GDSC2","967","SANGER"
"1919","Osimertinib","AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib","EGFR","EGFR signaling","71496458","GDSC2","957","SANGER"
"1089","Oxaliplatin","Eloxatin","DNA alkylating agent","DNA replication","5310940","GDSC2","967","SANGER"
"1806","Oxaliplatin","","DNA alkylating agent","DNA replication","","GDSC2","717","SANGER"
"1933","P22077","P 22077, P-22077","USP7, USP47","Protein stability and degradation","46931953","GDSC2","958","SANGER"
"1730","PAK_5339","SN1046290829, PAK_5339","PAK1, PAK2","Cytoskeleton","","GDSC2","716","SANGER"
"2145","PBD-288","","","Unclassified","","GDSC2","741","SANGER"
"1621","PCI-34051","AK298746","HDAC8, HDAC6, HDAC1","Chromatin histone acetylation","24753719","GDSC2","894","SANGER"
"1060","PD0325901","PD-0325901, PD 0325901","MEK1, MEK2","ERK MAPK signaling","9826528","GDSC2","968","SANGER"
"1049","PD173074","PD-173074, PD 173074","FGFR1, FGFR2, FGFR3","RTK signaling","1401","GDSC2","967","SANGER"
"1129","PF-4708671","PF 4708671, PF4708671","S6K1","PI3K/MTOR signaling","51371303","GDSC2","268","SANGER"
"2173","PFI-1","","BRD4","Chromatin other","71271629","GDSC2","946","SANGER"
"1620","PFI3","PFI-3, PFI 3, AOB2221","Polybromo 1, SMARCA4, SMARCA2","Chromatin other","78243717","GDSC2","894","SANGER"
"1036","PLX-4720","PLX4720, PLX 4720","BRAF","ERK MAPK signaling","24180719","GDSC2","961","SANGER"
"2148","POMHEX","","","Unclassified","","GDSC2","741","SANGER"
"1131","PRIMA-1MET","Prima 1MET, APR-246","TP53 activation","p53 pathway","52918385","GDSC2","894","SANGER"
"1631","PRT062607","P505-15, PRT-2607, BIIB-057","SYK","Other, kinases","44462758","GDSC2","894","SANGER"
"1080","Paclitaxel","BMS-181339-01, Taxol, Onxol, Paxene, Praxel, Abraxane","Microtubule stabiliser","Mitosis","36314","GDSC2","958","SANGER"
"1054","Palbociclib","PD0332991, PD-0332991, PF-00080665-73","CDK4, CDK6","Cell cycle","5330286","GDSC2","968","SANGER"
"1529","Pevonedistat","MLN4924, MLN 4924, MLN-4924","NAE","Other","16720766","GDSC2","956","SANGER"
"1635","Picolinici-acid","Picolinate","Inflammatory related","Other","1018","GDSC2","893","SANGER"
"1058","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","17755052","GDSC2","967","SANGER"
"1243","Piperlongumine","Piplartine","Induces reactive oxygen species","Other","637858","GDSC2","225","SANGER"
"1825","Podophyllotoxin bromide","","","Unclassified","","GDSC2","717","SANGER"
"2044","Pyridostatin","","G-quadruplex stabiliser","DNA replication","25227847","GDSC2","951","SANGER"
"1052","RO-3306","","CDK1","Cell cycle","44450571","GDSC2","955","SANGER"
"1625","RVX-208","1044870-39-4, Apabetalone","BRD4","Chromatin other","24871506","GDSC2","893","SANGER"
"1084","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","5384616","GDSC2","950","SANGER"
"1014","Refametinib","RDEA119, BAY-86-9766, BAY 869766","MEK1, MEK2","ERK MAPK signaling","44182295","GDSC2","947","SANGER"
"2057","Remodelin","","","Unclassified","","GDSC2","370","SANGER"
"1632","Ribociclib","LEE011, NVP-LEE011, LEE011-BBA","CDK4, CDK6","Cell cycle","44631912","GDSC2","959","SANGER"
"1817","Romidepsin","Istodax, FK228, Depsipeptide","HDAC1, HDAC2, HDAC3, HDAC8","Chromatin histone acetylation","","GDSC2","717","SANGER"
"1175","Rucaparib","PF-01367338, AG-014699, AG-14447, AG-14699","PARP1, PARP2","Genome integrity","9931953","GDSC2","948","SANGER"
"1507","Ruxolitinib","INCB-18424, Ruxolitinib Phosphate, Jakafi","JAK1, JAK2","Other, kinases","25126798","GDSC2","898","SANGER"
"1025","SB216763","SB-216763, SB 216763","GSK3A, GSK3B","WNT signaling","176158","GDSC2","956","SANGER"
"1194","SB505124","SB 505124, SB505124","TGFBR1, ACVR1B, ACVR1C","RTK signaling","9858940","GDSC2","265","SANGER"
"1061","SB590885","SB-590885","BRAF","ERK MAPK signaling","11316960","GDSC2","944","SANGER"
"1564","SCH772984","CS-1421","ERK1, ERK2","ERK MAPK signaling","24866313","GDSC2","964","SANGER"
"1582","SGC-CBP30","8-(3-chloro-4-methoxy-phenethyl)-4-(3,5-dimethyl-isoxazol-4-yl)-9-(2-(morpholin-4-yl)-propyl)-7,9-diaza-bicyclo[4.3.0]nona-1(6),2,4,7-tetraene","EP300, CBP","Chromatin histone acetylation","","GDSC2","716","SANGER"
"2177","SGC0946","","DOT1L","Chromatin histone methylation","56962337","GDSC2","946","SANGER"
"1039","SL0101","SL-0101, SL 0101-1","RSK, AURKB, PIM1, PIM3","Other, kinases","10459196","GDSC2","225","SANGER"
"1494","SN-38","7-Ethyl-10-Hydroxy-Camptothecin, SN 38","TOP1","DNA replication","104842","GDSC2","955","SANGER"
"1849","Sabutoclax","BI-97C1","BCL2,  BCL-XL,  BFL1, MCL1","Apoptosis regulation","46236925","GDSC2","892","SANGER"
"1549","Sapitinib","AZD8931","EGFR, ERBB2, ERBB3","EGFR signaling","11488320","GDSC2","966","SANGER"
"1936","Savolitinib","AZD6094, Volitinib, AZD-6094, AZD 6094","MET","RTK signaling","68289010","GDSC2","957","SANGER"
"1845","Schweinfurthin A","","","Unclassified","","GDSC2","716","SANGER"
"1062","Selumetinib","AZD6244, AZD-6244, ARRY-886","MEK1, MEK2","ERK MAPK signaling","10127622","GDSC2","949","SANGER"
"1736","Selumetinib","SN1103949345, AZD1480","MEK1, MEK2","ERK MAPK signaling","","GDSC2","717","SANGER"
"1941","Sepantronium bromide","YM155, YM-155, YM 155","BIRC5","Apoptosis regulation","11178236","GDSC2","958","SANGER"
"1133","Serdemetan","JNJ-26854165","MDM2","p53 pathway","11609586","GDSC2","948","SANGER"
"1838","Sinularin","","","Unclassified","","GDSC2","717","SANGER"
"1085","Sorafenib","Nexavar, 284461-73-0, BAY 43-9006","PDGFR, KIT, VEGFR, RAF","Other, kinases","216239","GDSC2","958","SANGER"
"1034","Staurosporine","","Broad spectrum kinase inhibitor","RTK signaling","several","GDSC2","968","SANGER"
"1732","TAF1_5496","SN1050393042, TAF1_5496","TAF1","Other","","GDSC2","716","SANGER"
"2360","THR-101","WIMM synthesis","Mutant RAS","PI3K/MTOR signaling","None","GDSC2","731","SANGER"
"2361","THR-102","WIMM synthesis","Mutant RAS","PI3K/MTOR signaling","None","GDSC2","731","SANGER"
"2362","THR-103","WIMM synthesis","Mutant RAS","PI3K/MTOR signaling","None","GDSC2","731","SANGER"
"1149","TW 37","TW37, TW-37","BCL2, BCL-XL, MCL1","Apoptosis regulation","11455910","GDSC2","376","SANGER"
"1259","Talazoparib","BMN-673, BMN 973","PARP1, PARP2","Genome integrity","44819241","GDSC2","956","SANGER"
"1199","Tamoxifen","Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar","ESR1","Hormone-related","2733526","GDSC2","957","SANGER"
"1026","Tanespimycin","17-AAG, BMS-722782","HSP90","Protein stability and degradation","6505803","GDSC2","949","SANGER"
"1561","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","51001932","GDSC2","966","SANGER"
"1930","Telomerase Inhibitor IX","MST-312, MST 312, MST312","Telomerase","Genome integrity","10385095","GDSC2","958","SANGER"
"1375","Temozolomide","Temodar, Temodal, M-39831, SCH 52365","DNA alkylating agent","DNA replication","5394","GDSC2","965","SANGER"
"1016","Temsirolimus","CCI-779, Torisel","MTOR","PI3K/MTOR signaling","6918289","GDSC2","922","SANGER"
"1809","Teniposide","Vumon","","DNA replication","","GDSC2","717","SANGER"
"1808","Topotecan","","TOP1","DNA replication","","GDSC2","717","SANGER"
"1096","Tozasertib","MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68","AURKA, AURKB, AURKC, others","Mitosis","5494449","GDSC2","268","SANGER"
"1372","Trametinib","GSK1120212, Mekinist","MEK1, MEK2","ERK MAPK signaling","11707110","GDSC2","966","SANGER"
"1009","Tretinoin","ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita","Retinoic acid","Other","444795","GDSC2","225","SANGER"
"1733","ULK1_4989","SN1049257073, ULK1_4989","ULK1","Other, kinases","","GDSC2","715","SANGER"
"1939","UMI-77","UMI 77, UMI-77","MCL1","Apoptosis regulation","992586","GDSC2","743","SANGER"
"2159","UNC0379","","SETD8","Chromatin histone methylation","","GDSC2","741","SANGER"
"2038","UNC0638","","G9A, GLP","Chromatin histone methylation","","GDSC2","732","SANGER"
"1908","Ulixertinib","BVD-523, VRT752271","ERK1, ERK2","ERK MAPK signaling","11719003, 58641927","GDSC2","958","SANGER"
"2047","Ulixertinib","BVD-523, VRT752271","ERK1, ERK2","ERK MAPK signaling","11719003, 58641927","GDSC2","740","SANGER"
"1553","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","51042438","GDSC2","898","SANGER"
"2106","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","51042438","GDSC2","736","SANGER"
"1613","VE-822","VE 822, VE822, Berzosertib","ATR","Genome integrity","59472121","GDSC2","894","SANGER"
"2111","VE821","VE 821, VE-821","ATR","Genome integrity","51000408","GDSC2","951","SANGER"
"1734","VSP34_8731","SN1049998399, VSP34_8731","VSP34","Other","","GDSC2","717","SANGER"
"2112","VTP-A","","","Unclassified","","GDSC2","737","SANGER"
"2113","VTP-B","","","Unclassified","","GDSC2","737","SANGER"
"2096","VX-11e","VX11e, VX11e","ERK2","ERK MAPK signaling","11634725","GDSC2","954","SANGER"
"1018","Veliparib","ABT-888, ABT888, ABT 888","PARP1, PARP2","Genome integrity","11960529","GDSC2","949","SANGER"
"1909","Venetoclax","ABT-199, Veneclexta, GDC-0199","BCL2","Apoptosis regulation","49846579","GDSC2","958","SANGER"
"1004","Vinblastine","Velban","Microtubule destabiliser","Mitosis","6710780","GDSC2","741","SANGER"
"1818","Vincristine","","","","","GDSC2","713","SANGER"
"2048","Vinorelbine","vinorelbine tartrate, Navelbine, Exelbine","Microtubule destabiliser","Mitosis","5311497","GDSC2","956","SANGER"
"1033","Vismodegib","GDC0449, Erivedge","SMO","Other","24776445","GDSC2","949","SANGER"
"1012","Vorinostat","Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683","HDAC inhibitor Class I, IIa, IIb, IV","Chromatin histone acetylation","5311","GDSC2","959","SANGER"
"1997","WEHI-539","WEHI539, WEHI-539","BCL-XL","Apoptosis regulation","71297207","GDSC2","962","SANGER"
"1940","WIKI4","WIKI-4, WIKI 4","TNKS1, TNKS2","WNT signaling","2984337","GDSC2","957","SANGER"
"1614","WZ4003","WZ 4003","NUAK1, NUAK2","Other, kinases","72200024","GDSC2","894","SANGER"
"1046","Wee1 Inhibitor","681640, Wee1 Inhibitor","WEE1, CHEK1","Cell cycle","10384072","GDSC2","957","SANGER"
"1622","Wnt-C59","AOB3540, AK161197","PORCN","WNT signaling","57519544","GDSC2","894","SANGER"
"1268","XAV939","NVP-XAV939, XAV-939, XAV 939","TNKS1, TNKS2","WNT signaling","2726824","GDSC2","893","SANGER"
"1239","YK-4-279","YK 4-279","RNA helicase A","Other","44632017","GDSC2","958","SANGER"
"1050","ZM447439","ZM-447439, ZM 447439","AURKA, AURKB","Mitosis","9914412","GDSC2","944","SANGER"
"1802","Zoledronate","Zoledronic acid, Zometa, Reclast"," ","Other","","GDSC2","717","SANGER"
"2498","alpha-lipoic acid","aLA","Metabolism","Metabolism","None","GDSC2","735","SANGER"
"2438","ascorbate (vitamin C)","back-up solution from YWKim","anti-oxidant proteins","Other","","GDSC2","732","SANGER"
"2439","glutathione","G6013, sigma","anti-oxidant proteins","Other","","GDSC2","732","SANGER"